ime,oznaka,tezavnost,avtor,stevilo_sestavin,cas_priprave,cas_kuhanja,skupni_cas,dolzina_navodil,energija_100g,energija_porcija
Kremasta skutina torta z limono,Sladice,1,M. J.,9,10,60,70,816,226.7,360.83
Kavno cimetova krema,Božič in novo leto,1,M. J.,6,15,,15,852,344.97,40.75
"Fižol s paradižnikom, papriko in špinačo",Zelenjava,1,M. J.,10,10,100,110,1771,160.48,631.5
Čokoladni fudge s piškoti,Božič in novo leto,1,M. J.,4,135,10,145,1367,491.83,231.9
Kuhano rdeče vino s pomarančo in začimbami,Zima,1,M. J.,7,5,20,25,682,88.12,258.25
Cimetovi polžki,Sladice,1,Su. S.,11,20,15,35,1018,410.31,268.75
Orehova rolada s smetano in čokolado,Sladice,1,M. J.,9,15,20,35,1215,319.37,467.88
Enostavna gobova omaka,Kaj skuhati,1,T. G.,7,5,30,35,1114,29.96,36.0
Domači prijatelj,Sladice,1,B. R.,10,20,35,55,1077,327.47,258.5
Hitri piškoti z mandlji in belo čokolado,Božič in novo leto,1,B. R.,6,50,20,70,691,500.63,788.5
Zapečeni makaroni s klobaso in sirom,Kosilo,1,M. J.,9,10,40,50,1291,243.32,651.0
Rebraste piščančje prsi (z nadevom iz špinače in sira ter panceto),Kaj skuhati,1,Su. S.,9,5,25,30,677,197.94,384.0
Sladke jogurtove pletenice,Sladice,1,M. J.,13,160,20,180,1546,350.09,247.54
Mlečni zdrob s karameliziranimi jabolki,Zajtrk,1,M. J.,8,,15,15,842,273.28,268.5
Slastni jabolčni piškoti,Sladice,1,M. J.,11,15,20,35,902,248.95,351.88
Vaflji z mandljevo moko,LCHF,1,Su. S.,8,5,10,15,677,273.01,333.75
Jogurtova pita,Sladice,1,M. J. /J. V.,14,45,30,75,765,376.97,307.17
Mehki kvašeni rogljički s sezamom,Testenine in žita,2,M. J.,9,110,15,125,1311,352.56,230.25
Sočen gin tonik kolač,Sladice,1,M. J.,13,30,30,60,1598,366.6,491.5
Štajerska kisla juha,Juhe in jedi na žlico,1,M. J.,12,5,170,175,959,162.7,716.17
Irska goveja enolončnica (goveji ragu po irsko),Juhe in jedi na žlico,1,M. J.,14,15,120,135,1545,91.74,349.67
Mandljevo pecivo s hruškami,Sladice,1,M. J.,12,15,40,55,1467,379.61,481.67
"Pečena račka s kremo iz pese in robid, čokoladna omaka, zeleno jabolko in koromač s citrusi",MasterChef,1,Kaja Balentič,14,15,30,45,873,,
"Gnezdo iz mladega graha, rjavo maslo, kozica z wasabijem",MasterChef,2,Žan Milosavljević,9,25,15,40,1049,444.2,1042.75
"Solata iz kodrolistnega ohrovta, kvinoje, orehov in fete",Zdravo in vegi,1,M. J.,12,40,15,55,1384,456.42,240.25
Limonini mafini z vanilijevo kremo,Sladice,1,M. J.,16,20,20,40,1565,336.8,228.83
Juha iz štorovk (mraznic),Juhe in jedi na žlico,1,B. R.,12,5,20,25,1247,66.71,246.5
Kakijev parfait s chia pudingom,Zajtrk,1,M. J.,8,75,,75,657,169.52,154.0
Palačinka iz pečice z jabolki,Sladice,1,M. J.,10,10,32,42,1071,204.81,414.75
Jabolčna pita s skuto,Sladice,1,M. J.,19,90,40,130,1660,204.46,403.2
"Jagenjček v mandljevi skorji, vinska omaka z granatnim jabolkom, štruklji s peteršiljem in jagodna čipka",MasterChef,2,Žan Milosavljević in Kaja Balentić,35,50,50,100,2376,186.58,1801.5
Leča s klobaso,Kosilo,1,M. J.,14,5,37,42,1071,257.21,784.5
Pecivo s kislo smetano in cimetom,Sladice,1,M. J.,13,15,30,45,1345,320.14,235.73
Pečena buča s sirom in semeni,Zelenjava,1,M. J.,10,10,30,40,955,91.4,272.25
Ovsena kaša s kakavom in mandlji,Fit,1,M. J.,8,,5,5,613,391.2,489.0
"Čokoladni kolač s hruškami, lešniki in olivnim oljem",Sladice,2,M. J.,12,20,75,95,1650,291.81,491.38
Puranja jetra in srčki v omaki,Na hitro,1,T. G.,11,5,15,20,688,211.51,623.0
Bučni kolački s karameliziranimi jabolki in mascarponejevo kremo,Sladice,1,Sara Rutar,16,15,20,35,857,255.11,269.58
Bučna juha,Juhe in jedi na žlico,2,Maj Janežič,9,10,20,30,783,217.63,827.0
"Pečen sladki krompir z avokadom, feto in granatnim jabolkom",Zdravo in vegi,1,M. J.,10,15,35,50,1251,212.09,293.75
"Ravioli s svinjino in žajbljem, pasijonkina omaka in mlado korenje v maslu",MasterChef,1,Kaja Balentič,11,15,15,30,664,257.54,649.0
Jabolčne rezine brez peke,Sladice,1,Su. S.,13,15,20,35,1134,234.2,343.25
Piškoti z ovsenimi kosmiči in orehi,Sladice,1,M. J.,10,40,20,60,1039,416.19,529.4
Slastna jed iz ostankov piščanca,Kaj skuhati,1,Su. S.,12,10,55,65,861,169.48,658.5
Rižota z bučo,Kosilo,1,M. J.,11,10,40,50,1178,186.47,384.0
Super preprost kolač z jabolki,Sladice,1,Su. S.,13,10,35,45,611,259.78,232.38
Zapečena cvetača v sirovi omaki,Zelenjava,1,M. J.,7,10,50,60,1349,188.57,229.67
Kostanjeve palačinke,Brez glutena,1,M. J.,7,20,15,35,1032,204.55,163.5
Skutni žepki (blazinice) z rozinami,Sladice,1,M. J.,9,30,20,50,1138,206.64,303.5
Peresniki z orehovo omako,Na hitro,1,M. J.,8,10,11,21,997,439.34,713.0
Piščančja omaka,MasterChef,1,Kaja Balentič,2,5,20,25,556,221.67,33.25
Paradižnikova omaka z rdečim vinom,MasterChef,1,Jerneja Trofenik Dimnik,10,,30,30,632,19.3,49.25
Počasi pečene puranje krače,Meso,1,M. J.,9,5,180,185,992,202.47,287.0
Krompirjeve palačinke s klobaso,Na hitro,1,M. J.,9,10,20,30,1259,164.91,536.0
Limonina pita z meringo,MasterChef,1,Žan Milosavljevič,16,50,20,70,1977,311.37,513.38
Kokosovi poljubčki brez glutena,Sladice,1,Su. S.,8,15,25,40,622,392.81,507.75
Čokoladno pecivo s skutino kremo,Sladice,2,M. J.,16,60,18,78,2152,280.65,366.83
Malinov sorbet s poprom in žajbljem,MasterChef,1,MasterChef,5,200,10,210,915,179.45,333.0
"Škampovi tortelini, zeliščna polenta, brancinov file in škampova omaka",MasterChef,1,MasterChef,22,20,60,80,1093,163.15,417.67
Gosta čičerikina juha,Juhe in jedi na žlico,1,M. J.,7,2,18,20,905,170.63,451.75
Domač čokoladno-lešnikov namaz,Namazi,1,M. J.,7,20,10,30,1720,596.84,264.1
Skutini štruklji s slivovo omako,MasterChef,1,Kaja Jurač,10,15,20,35,604,120.11,212.0
"Ajdova kaša s sotiranimi šparglji, korenčkom, grahom, masleno špargljevo omako, granatnim jabolkom in mandlji",Zdravo in vegi,1,Iza Logar,10,10,20,30,1142,159.16,647.0
Brezglutenski krompirjevi njoki,Triki in nasveti,1,Su. S.,5,20,60,80,1484,123.89,208.75
Čokoladna panna cotta z mangom,Sladice,1,M. J.,7,10,10,20,984,251.91,139.83
Sočno pecivo z drožmi,Sladice,1,Su. S.,10,5,35,40,576,211.66,226.75
Brokolijeva juha s čedarjem,Juhe in jedi na žlico,1,M. J.,12,10,30,40,1765,261.01,365.25
Palačinke s karameliziranimi hruškami,Sladice,1,M. J.,13,30,20,50,1436,221.54,563.25
Z rikoto in špinačo polnjene testenine v paradižnikovi omaki,Kosilo,1,M. J.,13,15,50,65,1429,175.45,754.0
Hitri jogurtovi kruhki brez kvasa,Testenine in žita,1,M. J.,4,15,20,35,999,347.41,227.25
Ajdova granola z oreščki in semeni,Brez glutena,1,M. J.,11,10,35,45,897,498.33,467.5
Jabolčno pecivo z meringo in drobljencem,Sladice,2,M. J.,16,100,45,145,1820,270.8,485.0
Rižota z morskimi ježki,MasterChef,2,Kristina Jakopič,8,20,30,50,706,80.39,41.0
Ribji brodet s popečeno polento in filejem trilje,MasterChef,2,Iza Logar,16,20,25,45,1585,86.67,442.0
"Oslič v zeliščni tempuri, pomfri iz navadnega in sladkega krompirja ter zeliščna majoneza",MasterChef,2,Žan Milosavljevič,15,20,20,40,922,142.55,538.5
Marmorne rezine z vanilijevim pudingom,Sladice,1,Jelena Vadnjal,14,10,30,40,1243,190.67,647.38
Sočno čokoladno pecivo s kislo smetano,Sladice,1,M. J.,10,15,35,50,1017,345.72,365.17
"Pašteta iz rdeče kvinoje, špargljev in koromača",MasterChef,1,Žan Milosavljević in Kaja Jurač,11,15,20,35,767,88.78,116.75
Mousse iz bele čokolade in matche,MasterChef,1,Ana Potočnik in Kaja Balentič,12,30,20,50,1265,425.52,871.25
"Ričota z gobami, korenjem in hruško, piščančje bedrca v tempuri in česnova omaka",MasterChef,1,Jerneja Trofenik Dimnik in Tanja Pirc,8,15,30,45,880,132.43,245.0
Vratovina in zelenjava iz pečice,Jesen,1,M. J.,8,15,50,65,897,105.77,584.5
Bananine palačinke s kosmiči,Fit,1,M. J.,8,10,15,25,1197,143.02,245.33
Dišeče poširane hruške v vinu,Jesen,1,M. J.,8,5,35,40,1132,141.45,308.0
Humus s sušenimi paradižniki,Predjedi in prigrizki,1,M. J.,8,15,,15,1120,223.69,135.33
Polnozrnate testenine s pestom iz brokolija in orehov,Zdravo in vegi,1,M. J.,9,10,20,30,1229,274.78,623.75
Bučna rolada s kremnim nadevom,Sladice,1,M. J.,12,20,15,35,1621,291.43,359.0
Mlečni zdrob z maslom in kakavom,Zajtrk,1,M. J.,6,,13,13,565,135.24,474.0
Losos v kokosovi omaki,Ribe in morski sadeži,1,M. J.,13,10,20,30,1459,225.14,452.75
Pečene polnjene paprike z nadevom iz skute in zelišč,Zelenjava,1,M. J.,7,10,30,40,871,74.13,148.25
Pečen sladki krompir s čebulo in timijanom,Zelenjava,1,M. J.,6,10,40,50,746,210.0,84.0
Galeta s slivami in mandlji,Sladice,1,M. J.,16,55,50,105,1829,240.73,525.5
"Fritata z lisičkami, žajbljem in sirom",Jajčne jedi,1,M. J.,8,10,20,30,1190,143.18,223.0
Jajčna omleta z zelišči,Jajčne jedi,2,M. J.,4,5,5,10,876,138.62,201.0
Ocvrtki iz navadnega in sladkega krompirja z zeliščno majonezo,MasterChef,2,Iza Logar,16,20,25,45,1475,103.59,180.5
Školjke s porom in rustikalni grisini z limonino lupinico,MasterChef,2,Tanja Pirc,12,20,25,45,702,129.61,414.5
Mlečni riž s pasijonkino kremo ter espuma iz jogurta in pasijonke,MasterChef,2,Kaja Jurač,12,20,25,45,938,176.99,1338.75
Pečen losos z gobami in špinačo v smetanovi omaki,Na hitro,1,M. J.,9,10,20,30,1241,143.67,337.0
Kokosove kocke z jagodno marmelado,Sladice,1,M. J.,13,60,30,90,1985,433.5,369.94
Kremna juha iz pečene muškatne buče,Juhe in jedi na žlico,1,M. J.,9,15,45,60,1440,62.9,200.0
"Sladki cimetov kruh, ki se trga (kruh v plasteh)",Sladice,2,M. J.,12,145,35,180,2198,362.14,335.5
Kokosove energijske kroglice,Fit,1,M. J.,6,15,,15,672,433.81,182.2
Limonini razpokančki,Sladice,1,M. J.,9,30,12,42,1402,375.65,243.0
Svinjski kotleti s smetanovo gorčično omako,Kosilo,1,M. J.,7,5,15,20,1268,162.55,263.25
Košarice iz vlečenega testa z mascarponejevo kremo in sadjem,Sladice,2,M. J.,9,40,10,50,1228,271.79,171.25
Okusna svinjska pečenka s krompirjem,Meso,1,M. J.,10,10,120,130,1562,110.62,449.63
Originalna guacamole omaka (pomaka),Omake,1,M. J.,8,15,,15,932,141.85,128.38
Makovo pecivo z marmelado in čokolado,Sladice,1,M. J.,13,15,25,40,1238,375.87,356.0
Beljakova kavna rolada z mandlji in smetano,Sladice,2,M. J.,11,20,25,45,1392,296.67,166.5
"Špageti s smetano, gobami in špinačo",Testenine in žita,1,M. J.,10,10,15,25,1670,178.72,509.0
Pašteta iz prekajenega lososa,Ribe in morski sadeži,1,M. J.,6,10,,10,657,354.75,354.75
Pavlova z dušenimi slivami s cimetom,Sladice,1,M. J.,12,30,70,100,1867,166.07,273.83
Pečena jajca s čebulo in papriko,Na hitro,1,M. J.,6,10,20,30,1188,122.84,162.0
Piščančji zrezek po dunajsko,Meso,1,M. J.,8,15,6,21,1350,231.25,604.25
Bananini mafini z belo čokolado,Sladice,1,M. J.,11,15,25,40,1225,285.33,237.42
Kremaste orzo testenine z bučkami in korenjem,Na hitro,1,M. J.,10,10,20,30,658,278.21,520.25
Puhaste japonske palačinke,Sladice,2,M. J.,7,15,20,35,1251,229.38,183.0
Testenine s tuno in paradižnikovo omako,Testenine in žita,1,M. J.,10,10,35,45,1238,186.62,672.75
Čokoladni semifreddo s pistacijami,Sladice,1,M. J.,7,25,,25,1828,359.76,241.2
Poletna zelenjavna omaka,Zelenjava,1,M. J.,10,10,40,50,1213,81.26,194.0
Zdravo jabolčno pecivo z začimbami,Sladice,1,M. J.,16,10,35,45,1294,191.03,136.67
Brokolijeva pita brez testa,Zelenjava,1,M. J.,8,15,65,80,1022,160.67,390.5
Čokoladna piškotna torta brez peke,Sladice,1,M. J.,11,80,10,90,1430,451.53,561.92
"Pečene bučke s paradižnikom, mocarelo in baziliko",Zelenjava,1,M. J.,8,5,30,35,950,141.23,286.0
Stročji fižol z mandlji,Zelenjava,1,M. J.,8,10,25,35,1230,98.53,167.5
Irski soda kruh,Testenine in žita,1,M. J.,7,15,40,55,1156,333.45,235.88
Pita z breskvami in kislo smetano,Sladice,1,M. J.,12,45,40,85,1315,198.91,386.75
Piščančje prsi z limonino omako,Meso,1,M. J.,10,5,35,40,948,213.37,366.5
Kokosova panakota,Sladice,1,M. J.,7,10,5,15,899,264.62,75.25
Preprosto jogurtovo pecivo z borovnicami,Sladice,1,M. J.,12,15,60,75,1308,249.48,261.33
Baskovski cheesecake (iz MasterChef Slovenija),Sladice,1,M. J.,8,15,60,75,1664,297.39,483.4
Lignji v solati,Solate,1,M. J.,8,15,1,16,1136,127.41,190.0
"Presna ajdova kaša s kakavom, banano in oreščki",Fit,1,M. J.,9,10,,10,746,258.88,432.0
Palačinka iz pečice z lososom in rukolo,Na hitro,1,M. J.,13,10,25,35,1136,246.23,646.5
Pečen krompir s papriko,Zelenjava,1,T. G.,6,10,40,50,532,59.03,152.0
Hitri narastek z bučkami in jogurtom,Zelenjava,1,M. J.,10,20,30,50,1069,131.87,165.5
Limonina pita (limonin tart),Sladice,1,M. J.,13,75,50,125,2027,369.88,337.63
Špageti z limonino omako,Testenine in žita,1,M. J.,8,5,15,20,1676,403.56,575.25
Rižota s šparglji in kozicami,Testenine in žita,1,T. G.,8,5,30,35,879,141.79,313.0
Veganski bananini mafini z borovnicami in malinami,Fit,1,M. J.,11,10,25,35,1459,202.5,123.83
Namaz iz jajčevcev,Namazi,1,M. J.,9,15,40,55,1290,77.23,48.75
Kozice v paradižnikovi omaki s feto,Ribe in morski sadeži,1,M. J.,10,15,35,50,1070,81.47,181.5
Preprosta torta s smetano in malinami,Sladice,1,M. J.,12,30,50,80,1787,202.07,236.33
Testenine z bučkami in pinjolami iz ene ponve,Na hitro,1,M. J.,9,5,20,25,1022,253.79,531.5
Zajčja obara,Kosilo,1,M. J.,12,10,105,115,1066,93.88,361.5
Limonina rolada,Sladice,2,M. J.,10,20,11,31,1612,270.4,165.75
Limonina granita,Sladice,1,M. J.,5,200,5,205,817,385.15,96.75
Kumarična solata s kislo smetano,Poletje,1,M. J.,6,20,,20,707,45.2,110.75
Paradižnikova solata s pestom in sirom,Solate,1,M. J.,11,20,5,25,1085,120.63,328.0
Piščanec z gobami in smetano iz pečice,Kosilo,1,T. G.,11,10,45,55,1236,87.24,856.0
"Kuskus s piščancem, porom in paradižnikom",Na hitro,1,M. J.,7,10,15,25,989,159.05,544.75
Makovo pecivo z jagodami,Sladice,1,T. G.,13,30,20,50,1604,270.51,345.13
Češnjev kompot,Domači pripravki,1,M. J.,6,30,10,40,831,72.34,567.8
Slani mafini s slanino in šparglji,Piknik in žar,1,T. G.,9,15,30,45,992,248.98,263.5
Sirloin steak,Meso,1,T. G.,4,5,20,25,926,193.95,417.0
Preprosto pecivo z borovnicami,Sladice,1,T. G.,8,10,30,40,667,208.87,323.75
"Rižota s piščancem, šparglji in pršutom",Testenine in žita,1,T. G.,9,10,30,40,730,96.25,500.5
Mlečni riž z jagodami,Pomlad,1,M. J.,9,40,25,65,909,188.78,236.75
Kuskus z zelenjavo,Zdravo in vegi,1,M. J.,10,15,15,30,1133,104.34,451.0
Lepljive perutničke s sezamom,Zabava,1,M. J.,8,10,40,50,941,219.35,430.67
Piščančji souvlaki,Meso,1,M. J.,8,20,12,32,765,188.24,384.5
"Pice s paradižnikom, lososom in smetanovo omako s koprom",Testenine in žita,1,M. J.,17,40,12,52,1403,285.08,988.5
Ramstek na žaru,Mehiška,1,M. J.,8,25,6,31,1028,273.79,565.75
Sirova rolada,Zabava,1,M. J.,9,30,10,40,1401,295.09,485.67
Španski kroketi s špinačo,Zabava,2,M. J.,12,120,40,160,2105,281.73,403.67
Počasi pečeno svinjsko pleče,Kuhinje,1,M. J.,7,10,360,370,1232,212.13,804.75
Svinjska nabodala z ananasovo solato,Azijska,2,M. J.,14,40,18,58,1762,108.99,513.33
Bučkine rezine s sirom,Poletje,1,M. J.,12,30,45,75,1179,137.96,284.63
Preprost metin sirup,Domači pripravki,1,M. J.,4,45,5,50,1232,120.4,602.0
Mesna pita,Piknik in žar,1,M. J.,11,15,50,65,1176,251.23,662.83
Zelenjavni ocvrtki iz čičerike in jajčevcev,Vegetarijanstvo,2,M. J.,14,15,25,40,979,119.87,99.5
Nabodala s piščančjimi jetrci,Kuhinje,1,M. J.,8,20,5,25,1027,141.86,198.25
"Mozaik polenta s kumarično omako, lososom in koruznim cvrtkom",MasterChef,1,Tanja Pirc,11,15,45,60,953,105.44,135.75
Borovničev sladoled iz dveh sestavin,Sladice,1,T. G.,2,10,,10,554,115.66,206.75
Puranji zrezki na žaru z mocarelo,Meso,1,S. M.,8,10,10,20,940,133.94,268.0
Pečena polenta s timijanom in začinjeno smetano,Vegetarijanstvo,1,M. J.,10,10,35,45,875,126.12,479.25
Mehki zrezki v gobovi omaki z domačimi rezanci,Kosilo,2,M. J.,14,10,115,125,2177,140.74,979.0
Golaž s polento,Kosilo,1,M. J.,18,15,200,215,1609,92.37,674.17
Nabodala iz slanine in sira,Piknik in žar,1,K. I.,6,15,10,25,544,467.04,527.75
Pečen krompir z brokolijem in parmezanom,Zelenjava,1,T. G.,5,5,45,50,651,71.93,410.0
"Polnjeni ravioli s popečenim radičem, rikoto in šampinjoni v žajbljevem maslu",MasterChef,2,Mojca Kravina,16,20,25,45,2106,335.06,776.5
Sočne BBQ perutničke,Meso,2,Vibrant Plate,8,10,20,30,1512,139.89,419.67
Mangov tart z avokadovo kremo,MasterChef,2,Kaja Balentič,7,10,25,35,480,142.86,100.0
"Rezanci s peteršiljem, praženim radičem in jajčevci",MasterChef,2,Tanja Pirc,9,15,15,30,779,200.19,525.5
Taco s pikantnimi kozicami in zeljno solato,Zabava,1,M. J.,16,20,15,35,1110,158.43,283.0
Hrenovke v listnatem testu,Zabava,1,M. J.,4,15,20,35,767,291.45,379.25
Rižev narastek s pudingom,Sladice,1,M. J.,11,15,55,70,1816,133.22,356.13
Goveji zrezki v gorčični omaki,Kaj skuhati,1,T. G.,10,10,120,130,1148,115.27,313.0
"Cvetačna kremna juha z brstičnim ohrovtom, poširanim jajcem in bučnim oljem",MasterChef,2,Tanja Pirc,10,10,30,40,630,78.54,188.5
Rižota s šparglji in surovimi škampi,MasterChef,2,Peter Mužič,11,10,30,40,1046,254.68,423.5
"Gorenjska prata, zajčji file in gobova omaka s suhimi slivami",MasterChef,1,Kristina Jakopič,16,15,45,60,1025,117.41,296.5
Candy land torta,MasterChef,3,MasterChef,28,50,120,170,2639,345.29,683.29
"Mafini s špinačo, feto in semeni",Zabava,1,M. J.,13,10,30,40,1075,270.79,200.67
Jabolčni drobljenec z borovnicami,Sladice,1,M. J.,10,10,45,55,1160,162.11,373.25
Orehova potica z drožmi,Velika noč,1,Polona Klančnik,14,50,70,120,2415,423.13,401.67
Velikonočni kruhov venec z jajci,Velika noč,2,M. J.,7,20,60,80,1351,180.93,212.63
Fokača s papriko in rožmarinom,Italijanska,2,M. J.,10,100,20,120,1618,348.09,320.38
Piščančje krače v čebulni omaki z rižem,Kosilo,1,T. G.,10,10,45,55,1014,119.02,488.0
Jogurtov zavitek z višnjami in zdrobom,Sladice,1,Jelena Vadnjal,11,80,45,125,934,194.53,272.4
Burger bombice s sezamom,Testenine in žita,2,Su. S.,10,215,29,244,1072,341.17,301.5
Bobići oz. frmentonova mineštra,Juhe in jedi na žlico,1,P. Ž.,9,10,40,50,1041,222.33,540.25
Sirova pita z bučkami,Zelenjava,1,M. J.,7,30,45,75,1344,143.86,225.5
Maroška pomarančna torta,Sladice,1,M. J.,9,20,110,130,1431,252.06,489.0
Pražen piščanec z zelenjavo,Na hitro,1,T. G.,8,10,20,30,521,143.44,563.0
Pijana nevesta,Sladice,1,T. G.,14,40,35,75,1443,221.42,400.25
Omleta z brokolijem in šparglji,Na hitro,1,T. G.,6,10,20,30,694,69.87,276.0
Sendvič z jajcem (jajčni sendvič),Na hitro,1,T. G.,6,5,10,15,1163,197.22,426.0
Pita s pudingom in gozdnimi sadeži,Sladice,2,M. J.,13,60,45,105,2293,258.84,325.17
Piščanec s kuskusom,Kuhinje,1,M. J.,14,10,60,70,1972,229.25,922.75
Omleta s tuno in avokadom,Jajčne jedi,1,T. G.,6,8,10,18,680,175.74,768.0
Kolački iz riževe moke,Brez glutena,1,Su. S.,10,10,20,30,713,316.14,151.0
Kruh brez kvasa,Testenine in žita,1,Jelena Vadnjal,9,35,60,95,464,341.36,547.88
Pomladna rižota s šparglji in grahom,Testenine in žita,2,M. J.,12,10,30,40,1788,170.57,423.5
"Cmočki s svinjino in ostrigarji, omaka rumenih češnjevih paradižnikov, sotiran brokoli",MasterChef,1,Žan Milosavljevič,11,20,30,50,1018,127.08,381.25
Juha za večjo odpornost,Zdravo in vegi,1,Su. S.,10,10,10,20,583,150.13,431.25
Korenčkov cheesecake,Sladice,1,Jelena Vadnjal,17,20,50,70,1050,264.73,410.58
Čarobno čokoladno pecivo,Sladice,1,M. J.,10,15,60,75,1330,350.99,221.0
Skutine rezine s sadjem,Sladice,1,M. J.,13,30,12,42,1551,202.89,131.5
Makovo pecivo s skuto,Sladice,1,Jelena Vadnjal,15,15,45,60,838,293.74,497.67
Sladke mlečne pletenke,Sladice,1,M. J.,12,,,,1625,390.78,402.5
Sladki polžki iz listnatega testa,Sladice,1,M. J.,8,25,20,45,942,417.62,163.92
Hitro in sočno jabolčno pecivo,Brez glutena,1,Su. S.,12,15,35,50,841,159.26,206.88
Čokoladni cheesecake,Sladice,1,Jelena Vadnjal,12,20,,20,1229,462.56,466.67
LCHF palačinke iz pečice,LCHF,1,Su. S.,9,10,15,25,645,229.42,184.25
Preproste jabolčne rezine,Sladice,1,Jelena Vadnjal,10,15,35,50,879,167.67,285.5
Kruhov narastek s prekajenim mesom,Kosilo,1,M. J.,9,30,40,70,691,220.16,721.25
LCHF kruh,LCHF,1,Su. S.,9,10,45,55,736,334.55,343.13
Zelenjavna fritata,Zdravo in vegi,1,Hofer; recept: Tereza Poljanič,6,5,15,20,1057,102.18,222.75
Zapečen krompir s klobaso,Kaj skuhati,1,M. J.,12,15,80,95,1449,94.54,459.75
Krompirjev golaž,Juhe in jedi na žlico,1,MasterChef,10,10,22,32,706,69.28,123.5
Francoska solata z ocvrtimi piščančjimi kračami,Kosilo,1,MasterChef,13,20,20,40,874,138.87,389.25
Orehovi razpokančki,Sladice,1,Jelena Vadnjal,11,20,8,28,687,432.32,200.67
"Skutina čokoladna krema z lahkim biskvitom, jagodno omako in praženimi lešniki",MasterChef,2,Ana Potočnik,15,25,15,40,1704,198.84,298.75
"Rdeč tajski curry z zelenjavo, piščancem, škampi in indijskimi oreščki",MasterChef,1,Eva Kastelic,14,15,25,40,998,126.67,529.5
"Malinov mousse na ajdovem biskvitu, čokoladni ganache in malinova omaka",MasterChef,1,Jerneja Trofenik Dimnik,15,25,15,40,1023,269.56,879.0
"Školjke s porom v beli omaki, radičev zavitek s slanino, parmezanov hrustek",MasterChef,1,Tanja Pirc,14,15,25,40,662,164.46,497.25
Hitro pecivo s skuto,Sladice,1,M. J.,13,15,40,55,1045,241.39,213.67
File brancina s svežo omako in fižolov pire,MasterChef,1,Mojca Kravina,11,15,25,40,1380,71.97,353.0
Pirina skleda,Zdravo in vegi,1,Hofer; recept: Barbarella,7,8,2,10,648,166.41,431.0
Rižota z borovnicami in gorgonzolnim prelivom,MasterChef,1,Peter Mužič,10,10,25,35,1119,267.3,989.0
Jabolčni otoček v vanilijevi omaki,MasterChef,1,Žiga Deršek,17,20,20,40,1102,252.55,420.67
Riž s paradižnikovo omako s tuno in koruzo,Na hitro,1,M. J.,8,5,25,30,1343,159.86,559.5
Enolončnica z rižem in mletim mesom,Juhe in jedi na žlico,1,M. J.,13,5,30,35,924,92.12,434.25
Gin tonik tortice v kozarčkih,Sladice,1,Jelena Vadnjal,18,30,,30,1068,389.7,400.25
Hitre čokoladno kokosove rezine,Sladice,1,Jelena Vadnjal,14,20,30,50,863,224.99,422.5
Višnje v rdečem vinu z mascarponejevo kremo,Sladice,1,Su. S.,6,10,5,15,461,169.96,412.25
Čokoladno bananine rezine,Sladice,1,Jelena Vadnjal,11,15,15,30,1139,341.02,399.8
Zdrava testeninska solata,Zdravo in vegi,1,Hofer; recept: Vibrant Plate,14,20,10,30,1097,160.97,633.0
Mehki kvašeni rogljički z makom in marmelado,Sladice,2,M. J.,12,100,25,125,1683,415.8,438.9
Kvašene miške z rozinami in orehi,Sladice,2,M. J.,12,80,20,100,1619,366.44,296.67
"Pogača z jajci, slanino in briejem",Predjedi in prigrizki,1,M. J.,12,80,45,125,1034,336.74,675.25
Kokosova rolada,Sladice,2,M. J.,10,30,25,55,1807,380.91,528.75
Sočne skutine rezine s sadjem,Sladice,1,M. J.,14,80,40,120,1194,250.71,733.0
Mandljevi LCHF piškoti s koščki temne čokolade,Sladice,1,Su. S.,8,10,10,20,554,593.22,262.5
Kvašeni rogljički s sirom,Predjedi in prigrizki,2,G. R. A.,10,110,15,125,1183,308.4,209.2
Bananini ocvrtki z rozinami,Sladice,2,M. J.,10,30,25,55,1428,227.08,242.33
Cvetača s panceto in sirom iz pečice,Zelenjava,1,Su. S.,10,15,30,45,810,187.59,451.25
Zapečene palačinke s šunko in sirom,Kosilo,1,M. J.,13,40,45,85,1188,222.31,676.0
Pikantni golaž s krompirjem in klobaso,Juhe in jedi na žlico,1,M. J.,10,10,35,45,953,170.37,739.0
Krompirjev narastek s kislim zeljem,Kaj skuhati,1,M. J.,11,15,60,75,903,131.92,583.75
Cimetove rolice s prelivom,Sladice,2,Jelena Vadnjal,12,70,30,100,1131,375.88,851.63
LCHF bombete,Predjedi in prigrizki,1,Jelena Vadnjal,9,10,25,35,526,212.5,127.0
Krekerji s chia semeni in sezamom,Predjedi in prigrizki,1,Jelena Vadnjal,6,10,14,24,706,474.18,215.75
Medena pita,Božič in novo leto,2,M. J.,22,35,55,90,2013,415.66,451.31
Želeji s penino in ginom,Božič in novo leto,1,Su. S.,6,12,3,15,743,325.86,38.17
Marmeladni žepki,Sladice,1,Jelena Vadnjal,8,60,15,75,801,419.43,331.0
Počasi pečena svinjska potrebušina s hrustljavo kožico,Meso,1,Su. S.,8,15,125,140,932,194.5,398.0
Puranje rolade z vojvodinjim krompirjem,Meso,1,M. J.,12,25,50,75,1476,158.69,789.5
Linške rožice z vanilijevo masleno kremo,Božič in novo leto,1,M. J.,13,120,25,145,1421,475.55,605.88
Koroški ajdovi žganci,Slovenska,1,M. J.,3,5,30,35,576,338.74,170.5
